frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr,label
1898,"Jan 10, 2021 04:09:00.919170570 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3009,1,0,8,0x0000000009294180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1779,"Jan 10, 2021 04:08:53.579148522 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2563,1,0,8,0x0000000008b94180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2596,"Jan 10, 2021 04:09:52.004033657 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2030,1,0,8,0x000000000c34c181,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2378,"Jan 10, 2021 04:09:33.785228786 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,918,1,0,8,0x000000000b1ec180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
225,"Jul 30, 2023 13:13:49.810376000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,624,11,0,8,0x00000000002284bd,0,Aya's Galaxy ,2,3,,,,,,,,,normal
187,"Jan 10, 2021 04:07:18.847720861 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,881,1,0,8,0x000000000313c180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
89,"Jul 30, 2023 13:11:28.711351000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,488,11,0,8,0x0000000000df732b,0,Aya's Galaxy ,2,3,,,,,,,,,normal
2933,"Jan 10, 2021 04:10:17.726674989 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3598,1,0,8,0x000000000dbd4180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
476,"Jan 10, 2021 04:07:37.017511953 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1989,1,0,8,0x0000000004290180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1780,"Jan 10, 2021 04:08:53.586561513 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,2298,1,0,8,0x0000000118b4f180,100,Aya's Galaxy ,2,3,,,,,,,,,attack
