frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
1,"Jan 10, 2021 04:07:07.254680827 EET",fa:8f:ca:8e:5e:2f,ff:ff:ff:ff:ff:ff,176,0,fa:8f:ca:8e:5e:2f,2179,6,0,8,0x0000001417912141,100,Den speaker.o,,,,,,,,,,
2,"Jan 10, 2021 04:07:07.291064225 EET",8a:d8:1b:25:94:29,ff:ff:ff:ff:ff:ff,260,0,8a:d8:1b:25:94:29,2840,6,0,8,0x00000047d9fcf180,100,,1,2,,,,,,,,
3,"Jan 10, 2021 04:07:07.344533709 EET",84:d8:1b:25:94:29,ff:ff:ff:ff:ff:ff,331,0,84:d8:1b:25:94:29,420,6,0,8,0x00000047d9fcf81f,100,402 Prashanti,1,2,,,,,,,,
4,"Jan 10, 2021 04:07:07.357112324 EET",fa:8f:ca:8e:5e:2f,ff:ff:ff:ff:ff:ff,176,0,fa:8f:ca:8e:5e:2f,2180,6,0,8,0x000000141792b141,100,Den speaker.o,,,,,,,,,,
5,"Jan 10, 2021 04:07:07.393365859 EET",8a:d8:1b:25:94:29,ff:ff:ff:ff:ff:ff,260,0,8a:d8:1b:25:94:29,2841,6,0,8,0x00000047d9fe8180,100,,1,2,,,,,,,,
6,"Jan 10, 2021 04:07:07.706108597 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,1264,1,0,8,0x0000000112655180,100,Aya's Galaxy ,2,3,,,,,,,,
7,"Jan 10, 2021 04:07:07.723272442 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,203,1,0,8,0x00000000026a0180,16,Aya's Galaxy ,1,2,,,,,,,,
8,"Jan 10, 2021 04:07:07.739660180 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,204,1,0,8,0x00000000026a4180,16,Aya's Galaxy ,1,2,,,,,,,,
9,"Jan 10, 2021 04:07:07.755947358 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,205,1,0,8,0x00000000026a8180,16,Aya's Galaxy ,1,2,,,,,,,,
10,"Jan 10, 2021 04:07:07.772440083 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,206,1,0,8,0x00000000026ac180,16,Aya's Galaxy ,1,2,,,,,,,,
11,"Jan 10, 2021 04:07:07.788800578 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,207,1,0,8,0x00000000026b0180,16,Aya's Galaxy ,1,2,,,,,,,,
12,"Jan 10, 2021 04:07:07.805092332 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,208,1,0,8,0x00000000026b4180,16,Aya's Galaxy ,1,2,,,,,,,,
13,"Jan 10, 2021 04:07:07.808397231 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,1265,1,0,8,0x000000011266e194,100,Aya's Galaxy ,2,3,,,,,,,,
14,"Jan 10, 2021 04:07:07.812572650 EET",,02:b8:af:5c:3a:48,28,0,,,1,1,13,,,,,,,,,,,,,
15,"Jan 10, 2021 04:07:07.813084727 EET",,02:b8:af:5c:3a:48,38,0,,,1,1,8,,,,,,,,,,,,,
16,"Jan 10, 2021 04:07:07.821462597 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,209,1,0,8,0x00000000026b8180,16,Aya's Galaxy ,1,2,,,,,,,,
17,"Jan 10, 2021 04:07:07.831645642 EET",,02:b8:af:5c:3a:48,28,0,,,1,1,13,,,,,,,,,,,,,
18,"Jan 10, 2021 04:07:07.837903938 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,210,1,0,8,0x00000000026bc180,16,Aya's Galaxy ,1,2,,,,,,,,
19,"Jan 10, 2021 04:07:07.854248197 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,211,1,0,8,0x00000000026c0180,16,Aya's Galaxy ,1,2,,,,,,,,
20,"Jan 10, 2021 04:07:07.870586573 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,212,1,0,8,0x00000000026c4180,16,Aya's Galaxy ,1,2,,,,,,,,
21,"Jan 10, 2021 04:07:07.886932140 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,213,1,0,8,0x00000000026c8180,16,Aya's Galaxy ,1,2,,,,,,,,
22,"Jan 10, 2021 04:07:07.903517565 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,214,1,0,8,0x00000000026cc180,16,Aya's Galaxy ,1,2,,,,,,,,
23,"Jan 10, 2021 04:07:07.910796123 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,1266,1,0,8,0x0000000112687180,100,Aya's Galaxy ,2,3,,,,,,,,
24,"Jan 10, 2021 04:07:07.919861914 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,215,1,0,8,0x00000000026d017f,16,Aya's Galaxy ,1,2,,,,,,,,
25,"Jan 10, 2021 04:07:07.936161954 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,216,1,0,8,0x00000000026d4180,16,Aya's Galaxy ,1,2,,,,,,,,
26,"Jan 10, 2021 04:07:08.118093234 EET",d8:bf:c0:d4:f0:5e,ff:ff:ff:ff:ff:ff,67,0,ff:ff:ff:ff:ff:ff,2613,7,0,4,,,Dalal's,,,,,,,,,,
27,"Jan 10, 2021 04:07:08.222164919 EET",00:90:0b:6b:18:76,ff:ff:ff:ff:ff:ff,112,0,58:c1:7a:0c:e3:80,3251,13,2,0,,,,,,,,,,,,,
28,"Jan 10, 2021 04:07:08.379141774 EET",00:90:0b:6b:18:76,ff:ff:ff:ff:ff:ff,112,0,58:c1:7a:0c:e3:80,3253,13,2,0,,,,,,,,,,,,,
29,"Jan 10, 2021 04:07:08.419935836 EET",00:90:0b:6b:18:76,ff:ff:ff:ff:ff:ff,112,0,58:c1:7a:0c:e3:80,3254,13,2,0,,,,,,,,,,,,,
30,"Jan 10, 2021 04:07:08.436574388 EET",00:90:0b:6b:18:76,ff:ff:ff:ff:ff:ff,112,0,58:c1:7a:0c:e3:80,3255,13,2,0,,,,,,,,,,,,,
31,"Jan 10, 2021 04:07:08.458000668 EET",00:90:0b:6b:18:76,ff:ff:ff:ff:ff:ff,112,0,58:c1:7a:0c:e3:80,3256,13,2,0,,,,,,,,,,,,,
32,"Jan 10, 2021 04:07:08.469886951 EET",00:90:0b:6b:18:76,ff:ff:ff:ff:ff:ff,112,0,58:c1:7a:0c:e3:80,3257,13,2,0,,,,,,,,,,,,,
33,"Jan 10, 2021 04:07:08.745225880 EET",64:cc:22:3c:91:ce,ff:ff:ff:ff:ff:ff,247,0,64:cc:22:3c:91:ce,1227,8,0,8,0x00000047c92ab183,100,Dhami,1,2,,,,,,,,
34,"Jan 10, 2021 04:07:08.847705158 EET",64:cc:22:3c:91:ce,ff:ff:ff:ff:ff:ff,247,0,64:cc:22:3c:91:ce,1229,8,0,8,0x00000047c92c4183,100,Dhami,1,2,,,,,,,,
35,"Jan 10, 2021 04:07:08.950090721 EET",64:cc:22:3c:91:ce,ff:ff:ff:ff:ff:ff,247,0,64:cc:22:3c:91:ce,1230,8,0,8,0x00000047c92dd183,100,Dhami,1,2,,,,,,,,
36,"Jan 10, 2021 04:07:09.583994486 EET",8a:d8:1b:25:98:6a,ff:ff:ff:ff:ff:ff,260,0,8a:d8:1b:25:98:6a,2113,9,0,8,0x0000000776c76180,100,,1,2,,,,,,,,
37,"Jan 10, 2021 04:07:09.636142725 EET",84:d8:1b:25:98:6a,ff:ff:ff:ff:ff:ff,331,0,84:d8:1b:25:98:6a,3055,9,0,8,0x0000000776c7631f,100,401 Prashanti,1,2,,,,,,,,
38,"Jan 10, 2021 04:07:09.686316023 EET",8a:d8:1b:25:98:6a,ff:ff:ff:ff:ff:ff,260,0,8a:d8:1b:25:98:6a,2114,9,0,8,0x0000000776c8f185,100,,1,2,,,,,,,,
39,"Jan 10, 2021 04:07:09.934944457 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,338,4,0,8,0x00000000028bc180,16,Aya's Galaxy ,1,2,,,,,,,,
40,"Jan 10, 2021 04:07:09.984277888 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,341,4,0,8,0x00000000028c8180,16,Aya's Galaxy ,1,2,,,,,,,,
