frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
1,"Jul 30, 2023 13:09:52.582520000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,400,48,0,8,0x0000000a55398839,0,Orange-8605,2,3,,,,,,,,
2,"Jul 30, 2023 13:09:53.948044000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,401,48,0,8,0x0000000a554e4629,0,Orange-8605,2,3,,,,,,,,
3,"Jul 30, 2023 13:09:55.644760000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,402,48,0,8,0x0000000a556a236e,0,Orange-8605,2,3,,,,,,,,
4,"Jul 30, 2023 13:10:00.154910000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,403,48,0,8,0x0000000a5589d043,0,Orange-8605,2,3,,,,,,,,
5,"Jul 30, 2023 13:10:00.780101000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,404,48,0,8,0x0000000a55b88476,0,Orange-8605,2,3,,,,,,,,
6,"Jul 30, 2023 13:10:01.822020000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,405,48,0,8,0x0000000a55c86995,0,Orange-8605,2,3,,,,,,,,
7,"Jul 30, 2023 13:10:02.865299000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,406,48,0,8,0x0000000a55d853fe,0,Orange-8605,2,3,,,,,,,,
8,"Jul 30, 2023 13:10:03.887776000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,407,48,0,8,0x0000000a55e7f3b6,0,Orange-8605,2,3,,,,,,,,
9,"Jul 30, 2023 13:10:08.371650000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,408,48,0,8,0x0000000a56293025,0,Orange-8605,2,3,,,,,,,,
10,"Jul 30, 2023 13:10:09.010303000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,409,48,0,8,0x0000000a5636140a,0,Orange-8605,2,3,,,,,,,,
11,"Jul 30, 2023 13:10:10.057432000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,410,48,0,8,0x0000000a5645b478,0,Orange-8605,2,3,,,,,,,,
12,"Jul 30, 2023 13:10:11.174046000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,411,48,0,8,0x0000000a5657140b,0,Orange-8605,2,3,,,,,,,,
13,"Jul 30, 2023 13:10:12.118580000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,412,48,0,8,0x0000000a5665881f,0,Orange-8605,2,3,,,,,,,,
14,"Jul 30, 2023 13:10:16.536398000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,413,48,0,8,0x0000000a567a7059,0,Orange-8605,2,3,,,,,,,,
15,"Jul 30, 2023 13:10:17.237682000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,414,48,0,8,0x0000000a56b3a7ef,0,Orange-8605,2,3,,,,,,,,
16,"Jul 30, 2023 13:10:18.265682000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,415,48,0,8,0x0000000a56c347c4,0,Orange-8605,2,3,,,,,,,,
17,"Jul 30, 2023 13:10:19.289023000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,416,48,0,8,0x0000000a56d2e760,0,Orange-8605,2,3,,,,,,,,
18,"Jul 30, 2023 13:10:20.294017000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,417,48,0,8,0x0000000a56e24e22,0,Orange-8605,2,3,,,,,,,,
19,"Jul 30, 2023 13:10:24.776753000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,418,48,0,8,0x0000000a571cf041,0,Orange-8605,2,3,,,,,,,,
20,"Jul 30, 2023 13:10:25.395026000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,419,48,0,8,0x0000000a5730141d,0,Orange-8605,2,3,,,,,,,,
