frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
1,"Jul 13, 2023 15:20:21.888699169 GMT",b0:4e:26:27:69:f1,ff:ff:ff:ff:ff:ff,270,0,b0:4e:26:27:69:f1,1907,2,0,8,0x0000009a09ade189,100,MM_Alaa,1,2,,,,,,,,
2,"Jul 13, 2023 15:20:21.892579836 GMT",,b4:c4:fc:b7:19:48,28,0,,,2,1,13,,,,1,,,,,,,,,
3,"Jul 13, 2023 15:20:21.909374261 GMT",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,418,2,0,8,0x0000000000996ee1,16,Aya's Galaxy ,1,2,,,,,,,,
4,"Jul 13, 2023 15:20:21.951028673 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,1,,,,,,,,,
5,"Jul 13, 2023 15:20:21.972063622 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,1,,,,,,,,,
6,"Jul 13, 2023 15:20:21.991201732 GMT",b0:4e:26:27:69:f1,ff:ff:ff:ff:ff:ff,270,0,b0:4e:26:27:69:f1,1908,2,0,8,0x0000009a09af71a5,100,MM_Alaa,1,2,,,,,,,,
7,"Jul 13, 2023 15:20:22.002230335 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,,,,,,,,,,
8,"Jul 13, 2023 15:20:22.002831140 GMT",,e0:cc:f8:42:fb:ec,28,0,,,2,1,13,,,,,,,,,,,,,
9,"Jul 13, 2023 15:20:22.117030333 GMT",,d6:7e:a7:8e:35:cb,28,0,,,2,1,13,,,,,,,,,,,,,
10,"Jul 13, 2023 15:20:22.130866456 GMT",,76:be:eb:11:6f:ff,28,0,,,2,1,13,,,,,,,,,,,,,
11,"Jul 13, 2023 15:20:22.167389668 GMT",,76:be:eb:11:6f:ff,28,0,,,2,1,13,,,,,,,,,,,,,
12,"Jul 13, 2023 15:20:22.169359123 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,,,,,,,,,,
13,"Jul 13, 2023 15:20:22.192556017 GMT",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,434,2,0,8,0x00000000009dc180,16,Aya's Galaxy ,1,2,,,,,,,,
14,"Jul 13, 2023 15:20:22.234206292 GMT",,76:be:eb:11:6f:ff,28,0,,,2,1,13,,,,,,,,,,,,,
15,"Jul 13, 2023 15:20:22.293565236 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,,,,,,,,,,
16,"Jul 13, 2023 15:20:22.299082911 GMT",,76:be:eb:11:6f:ff,28,0,,,2,1,13,,,,,,,,,,,,,
17,"Jul 13, 2023 15:20:22.340456647 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,13,,,,,,,,,,,,,
18,"Jul 13, 2023 15:20:22.503829547 GMT",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,451,2,0,8,0x0000000000a28180,16,Aya's Galaxy ,1,2,,,,,,,,
19,"Jul 13, 2023 15:20:22.512539804 GMT",,e0:cc:f8:42:fb:ec,38,0,,,2,1,8,,,,1,,,,,,,,,
20,"Jul 13, 2023 15:20:22.537539988 GMT",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,453,2,0,8,0x0000000000a30514,16,Aya's Galaxy ,1,2,,,,,,,,
21,"Jul 13, 2023 15:20:22.546805379 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,1,,,,,,,,,
22,"Jul 13, 2023 15:20:22.554407455 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,1,,,,,,,,,
23,"Jul 13, 2023 15:20:22.620414962 GMT",80:1f:02:e9:f4:68,ff:ff:ff:ff:ff:ff,65,0,ff:ff:ff:ff:ff:ff,27,2,0,4,,,Zain656756,1,,,,,,,,,
24,"Jul 13, 2023 15:20:22.670768639 GMT",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,461,2,0,8,0x0000000000a50d34,16,Aya's Galaxy ,1,2,,,,,,,,
25,"Jul 13, 2023 15:20:22.678682672 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,1,,,,,,,,,
26,"Jul 13, 2023 15:20:22.730735990 GMT",,30:4b:07:68:bc:18,28,0,,,2,1,12,,,,1,,,,,,,,,
27,"Jul 13, 2023 15:20:22.775406467 GMT",,76:be:eb:11:6f:ff,28,0,,,2,1,13,,,,1,,,,,,,,,
